archivo,duration,rms,tempo,zcr,spectral_centroid,spectral_bandwidth,spectral_rolloff,spectral_contrast,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6
02 Maroon.mp3,218.30530612244897,0.26928565,[107.66601562],0.03042256530359232,2131.4290711080894,3054.294473133084,4833.956751430879,21.985519281933755,-165.31206,139.87862,7.6293664,42.741646,10.346691,33.692978,-9.758002,22.47074,3.2241497,5.0025463,8.387075,4.0025067,2.7629275,0.5200995,0.53732765,0.5893381,0.55860895,0.5604239,0.55980134,0.65831393,0.7782732,0.60163504,0.5314221,0.50699544,0.51839453,0.27589791571481526,0.2101275116082597,0.17525360615939053,0.011637633467504483,0.04973766095282391,-0.05794365477220594
03 Anti-Hero.mp3,200.72489795918366,0.25160348,[97.50884434],0.04246968081260844,2270.523020299666,2887.932363875964,4680.853820059464,20.961313413854352,-116.05038,154.35641,-23.276833,37.63363,-1.0105311,21.586977,-9.602837,16.407171,0.21989788,2.3157306,7.267859,2.5925832,1.9287477,0.50528175,0.46285793,0.4351224,0.5254754,0.5774314,0.5101651,0.5608192,0.44525185,0.48166814,0.46169809,0.50663537,0.5968166,0.06730080000373792,-0.2011245330553123,-0.039244391512989744,0.05613681507055003,0.023695294927912832,-0.028361863604633105
04 Snow On The Beach.mp3,256.1567346938775,0.19127607,[109.95678191],0.026679090869176032,1691.9232172226737,2516.5622456556343,3338.8312789994447,21.88512925847141,-205.33786,153.48877,3.8351996,28.807653,-0.15427369,13.351848,-5.3962927,7.980492,-0.75890505,1.0999047,8.081969,-3.092818,0.65435576,0.4460771,0.48411134,0.4647597,0.48060122,0.56535083,0.47993612,0.4482879,0.3964055,0.5071849,0.61590415,0.4995235,0.5308776,0.1409400100511583,-0.18812769240061283,-0.09808567877830557,-0.042389216576875964,0.013690805618139183,-0.021691134498874873
"05 You_re On Your Own, Kid.mp3",194.2465306122449,0.26124185,[120.18531977],0.02168278667934198,1637.7018893995128,2600.810313153941,3373.619236810453,21.88374132612952,-183.35786,155.48424,8.347482,48.490963,10.176727,21.202002,-5.332869,16.355835,2.1735356,2.572069,11.648215,0.5104919,4.4574695,0.50609636,0.6496451,0.76968014,0.6646027,0.5305125,0.47555715,0.51643854,0.48781243,0.4405901,0.48633417,0.4505545,0.4627478,0.12828949588989288,0.005553254833690444,0.06557809971007579,-0.1404254687528243,0.006879003712285868,0.00927666663444984
06 Midnight Rain.mp3,174.83755102040817,0.22622526,[69.83741554],0.021928107880976096,1485.5905953054132,2261.139587262622,3117.4973640593876,21.791954939498446,-223.94078,145.4855,27.482918,46.260887,14.55525,20.00001,-7.361706,8.451944,-2.2192729,-1.3445,2.4177885,0.5550474,2.3210504,0.6959849,0.58192915,0.5315281,0.48288134,0.52261496,0.4621581,0.4337943,0.49192542,0.4794554,0.5107741,0.48510715,0.5321593,0.10761551598013021,0.22397752554171174,-0.02710314444954241,0.08605103073214955,0.020835247251715833,0.05735088513843214
07 Question..._.mp3,210.59918367346938,0.27299824,[109.95678191],0.034210292559605844,2329.943268677962,3246.795425287483,4955.763425311811,21.17454623630477,-152.00761,137.40207,10.086076,43.65381,0.3719669,22.74492,-11.021409,13.872025,-1.7981855,4.992263,7.440259,2.6438804,3.5184476,0.63413066,0.5752357,0.61859727,0.5275779,0.4897196,0.45831263,0.46074164,0.571194,0.51935154,0.53835803,0.49796456,0.5374438,0.23037273001192565,0.2583915535216645,0.013596903186606805,0.018097727757958437,-0.0009585735102643555,0.05274949134792988
08 Vigilante Shit.mp3,164.85877551020408,0.24522974,[79.50721154],0.03164887764084507,2095.6930301682855,2809.2914818167483,4317.143369003081,21.41162651519188,-245.11806,111.23257,9.316516,47.537605,13.297338,21.390812,-0.15462175,18.21852,2.3968992,8.446418,13.008941,2.2096572,4.6651,0.7065769,0.64027315,0.60051274,0.58775336,0.60174793,0.5544045,0.5123089,0.5091024,0.5170913,0.57968247,0.633064,0.6825614,0.20894748347673522,-0.007158654827158944,-0.14943534321954696,0.17688207429218014,0.022071269890890616,0.044278496307697805
09 Bejeweled.mp3,194.22040816326532,0.20545566,[109.95678191],0.04472366124133242,2717.2462492591817,3449.6688806234997,6077.132276263337,21.470014068495345,-160.70494,124.27087,-9.0519,30.772257,-1.467891,22.54511,-7.386865,14.814561,-0.4345337,5.3453946,2.542789,3.6885571,0.71471906,0.6584042,0.5747806,0.62364423,0.5022196,0.47631484,0.39781085,0.3726851,0.4609703,0.39118242,0.41619036,0.4306139,0.5513497,0.178344557584096,0.15389897311246506,0.020807501612824807,0.005621339651870684,0.005189116939038142,0.013575317442033136
10 Labyrinth.mp3,248.0065306122449,0.11677878,[109.95678191],0.028861028783587678,1512.2569930311827,2201.356185960038,2888.891587848019,22.224159409610717,-239.80269,163.75194,8.769693,9.056903,-2.4189475,10.506753,-5.439651,5.7361135,-2.1581602,-6.0314746,2.4964464,-1.7984611,-0.80061156,0.68397075,0.4366598,0.3164423,0.2759062,0.4218554,0.43721378,0.31252643,0.42416325,0.27218887,0.25330666,0.24377353,0.4136915,0.07459372101016751,0.23663997384030297,-0.119958782379177,0.18795639566553163,-0.025789353124939837,0.026326430500430622
11 Karma.mp3,204.90448979591838,0.23571953,[90.66611842],0.050185519210339945,2782.0434745365274,3311.5268920224953,6080.727680152267,21.665104898714418,-126.55092,127.26038,-16.614649,36.30063,-5.2444615,28.720047,-14.307633,15.093764,-2.6223254,7.986989,5.9655585,4.911861,-1.0147358,0.40102506,0.3851373,0.41011336,0.47388396,0.4037578,0.42663398,0.38068742,0.49396873,0.5677195,0.5114691,0.6231905,0.46991563,-0.1808413550127288,-0.012108369465374358,-0.05114016292871323,0.02739740320731997,0.043842618377666814,-0.03327283147573418
