,archivo
0,02 maroon
1,03 anti-hero
2,04 snow on the beach
3,"05 you_re on your own, kid"
4,06 midnight rain
5,07 question..._
6,08 vigilante shit
7,09 bejeweled
8,10 labyrinth
9,11 karma
10,12 guilty as sin_ (live from stockholm)
11,12 sweet nothing
12,13 how did it end_ (live from stockholm)
13,13 mastermind
14,14 peter (live from stockholm)
15,14 the great war
16,15 bigger than the whole sky
17,15 the albatross (dancing with our hands tied - live from dublin)
18,16 high infidelity
19,16 i hate it here (the lakes - live from cardiff)
20,17 thank you aimee (mean - live from london)(1)
21,17 thank you aimee (mean - live from london)
22,"17 would_ve, could_ve, should_ve"
23,18 dear reader
24,18 the bolter (getaway car - live from edinburgh)
25,19 you_re losing me (from the vault)
26,20 snow on the beach (feat. more lana del rey)
27,20 the prophecy (long story short - live from lyon)
28,21 karma (feat. ice spice)
29,3 fresh out the slammer (acoustic version)
30,4 guilty as sin_ (acoustic version) - taylor swift
31,6 who_s afraid of little old me (first draft phone memo)
32,8 my boy only breaks his favorite toys (first draft phone memo)
33,aby ngana diop - dieuleul dieuleul [senegal]
34,adalberto santiago - la noche mas linda
35,agrupacion ilegal los imparciales - norwegian wood
36,alan cosmos - onua gyae
37,alejandro bernal - martha cecilia (instrumental)
38,alfio scandurra - qu'est ce qui ne va pas _
39,alma africana - caliventura
40,altin gün - goca dünya
41,"anamía - quizás, quizás, quizás"
42,bajofondo & julieta venegas - pa' bailar (siempre quiero mas)
43,balkan beat box - hermetico
44,banda macho - la noche que murió chicago (the night chicago died)
45,beck - cellphone's dead
46,big boi feat. phantogram_sade - cpu 2.0 _free download_
47,björk - big time sensuality
48,blackky - s skank
49,boundary - critica veintena
50,buena vista social club - candela
51,buscabulla - tártaro
52,"c. tangana, niño de elche & la hungara - tú me dejaste de querer"
53,calixto ochoa - recordando el pasado
54,celia cruz - acuario
55,chaka demus & pliers - twist and shout (feat. jack radics & the taxi gang)
56,charif megarbane - 3aks el seir
57,chicha libre - the guns of brixton
58,chico cervantes - la cumbia de la paz
59,coldhot and mong tong - why don't we try this_(mong tong remix)
60,"conjunto ingeniería, el dragón criollo & el palmas - la bola"
61,cracy coconuts - rubberdub dance
62,dengue dengue dengue - serpiente dorada
63,diego el cigala - bésame mucho (audio)
64,dizzy k - omoge
65,"dj nu-mark - everybody everybody (feat. bacao rhythm & steel band, bacao rhythm & steel band)"
66,"donald - a ver, a ver (ric piccolo edit)"
67,ecos del siboney - tengo un son
68,electric mind - zwei (jago remix)
69,elia y elizabeth - alegría
70,francisco zapata - cumbia candelosa-1
71,fredi - elää mä sain - stayin' alive (dj slow remix)
72,fruko y sus tesos - mambo del mercado la merced
73,glass beams - mahal
74,glass beams - taurus (mixed)
75,grandmaster flash & the furious five - the message
76,grupo algo nuevo - mayajigua (remasterizado)
77,"guayacán orquesta - oiga, mire, vea (salsa)"
78,guillermo portabales - cumbiamba
79,hannes beckmann's sinto - man on the banks
80,henri guedon et les contesta - van van
81,hugo blanco - guajira con arpa
82,héctor lavoe - periódico de ayer
83,ile - ñe ñe ñé
84,ini kamoze - world a music
85,jamie xx - i know there's gonna be (good times) (feat. young thug & popcaan)
86,joe bataan - subway joe
87,joe cuba sextette - bang! bang!
88,joni haastrup - greetings
89,josé josé - tu melodía (cover audio)
90,juan gabriel - en esta primavera
91,kali uchis - know what i want
92,la boa & nelda piña - boa
93,la isla bonita ((bomba ecuatoriana)) limpia
94,la lom - juana la cubana
95,la lupe - fever
96,la mecánica popular - mótame en la tormenta
97,la misma gente - raquel
98,la pesada - cumbia y tambo (en la lluvia)
99,la sonora matancera & celia cruz - pa la paloma
100,la sonora santanera - la boa
101,la yegros - trocitos de madera
102,lalo rodriguez - ven devorame otra vez
