,album_name,ep,album_release,track_number,track_name,artist,bonus_track,track_release,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode,line,lyric,element,element_artist
0,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,1,He said the way my blue eyes shined,Verse 1,Taylor Swift
1,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,2,Put those Georgia stars to shame that night,Verse 1,Taylor Swift
2,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,3,"I said, ""That's a lie""",Verse 1,Taylor Swift
3,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,4,Just a boy in a Chevy truck,Verse 1,Taylor Swift
4,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,5,That had a tendency of gettin' stuck,Verse 1,Taylor Swift
5,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,6,On backroads at night,Verse 1,Taylor Swift
6,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,7,And I was right there beside him all summer long,Verse 1,Taylor Swift
7,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,8,And then the time we woke up to find that summer gone,Verse 1,Taylor Swift
8,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,9,But when you think Tim McGraw,Chorus,Taylor Swift
9,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,10,I hope you think my favorite song,Chorus,Taylor Swift
10,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,11,The one we danced to all night long,Chorus,Taylor Swift
11,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,12,The moon like a spotlight on the lake,Chorus,Taylor Swift
12,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,13,When you think happiness,Chorus,Taylor Swift
13,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,14,I hope you think that little black dress,Chorus,Taylor Swift
14,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,15,Think of my head on your chest,Chorus,Taylor Swift
15,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,16,And my old faded blue jeans,Chorus,Taylor Swift
16,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,17,When you think Tim McGraw,Chorus,Taylor Swift
17,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,18,I hope you think of me,Chorus,Taylor Swift
18,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,19,September saw a month of tears,Verse 2,Taylor Swift
19,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,20,And thankin' God that you weren't here,Verse 2,Taylor Swift
20,Taylor Swift,0.0,2006-10-24,1.0,Tim McGraw,Taylor Swift,0.0,2006-06-19,0.58,0.491,0.0,-6.462,1.0,0.0251,0.575,0.0,0.121,0.425,76.009,4.0,232107.0,0.0,C,major,C major,21,To see me like that,Verse 2,Taylor Swift
