Id,Servicio wifi a bordo,Hora de salida/llegada conveniente,Facilidad de reserva en línea,Ubicación de la puerta,Alimentos y bebidas,Embarque en línea,Comodidad del asiento,Entretenimiento a bordo,Servicio a bordo,Servicio de sala de piernas,Manejo de equipaje,Servicio de facturación,Limpieza
19556,5,4,3,4,3,4,3,5,5,5,5,2,5
90035,1,1,3,1,5,4,5,4,4,4,4,3,5
12360,2,0,2,4,2,2,2,2,4,1,3,2,2
77959,0,0,0,2,3,4,4,1,1,1,1,3,4
36875,2,3,4,3,4,1,2,2,2,2,2,4,4
39177,3,3,3,3,5,5,3,5,4,3,1,1,5
79433,5,5,5,5,3,5,5,5,5,5,5,4,3
97286,2,2,2,2,4,4,5,4,4,4,4,5,3
27508,5,2,2,2,5,5,5,5,2,2,5,3,5
62482,2,2,2,2,3,4,4,4,4,4,4,5,4
47583,4,1,1,1,5,1,5,3,3,4,3,1,4
115550,2,5,5,5,1,3,4,2,2,2,2,3,4
119987,5,5,5,5,4,5,5,5,5,5,5,5,3
42141,1,1,4,1,5,5,4,5,5,5,5,3,5
2274,2,2,2,2,5,5,4,4,4,4,4,3,5
22470,3,4,0,3,2,0,2,2,4,2,4,4,2
124915,2,5,5,5,2,2,2,2,4,3,3,4,2
17836,5,4,5,3,4,5,4,4,3,5,5,4,4
76872,3,4,3,1,4,4,5,5,5,3,5,4,3
64287,5,5,5,5,4,5,4,4,4,5,4,5,5
63995,4,4,4,4,2,4,5,5,5,5,5,5,5
75855,3,4,3,4,2,3,2,2,4,2,4,4,2
106181,1,2,4,3,4,4,4,4,1,3,2,4,4
44304,4,4,4,4,4,4,4,4,1,5,3,1,4
82602,4,3,5,3,2,5,2,2,3,2,3,4,2
7823,3,5,3,4,2,3,2,2,3,5,5,4,2
127781,4,1,4,4,2,2,2,2,5,5,5,5,2
34501,4,1,1,1,4,4,4,4,1,4,1,1,4
121658,3,5,3,3,5,4,5,5,5,5,5,5,5
20219,4,3,3,3,4,4,4,4,3,2,3,3,4
67551,1,5,1,1,1,1,4,3,3,1,5,4,5
48994,2,3,3,3,5,2,5,2,2,2,2,2,2
