ACCOUNT_ID,y_hat
5336,3300.5132
5678,10834.846
7675,6162.5195
3985,3917.4841
4657,4685.329
14772,3654.0874
27603,19477.908
20925,3104.9614
24513,3771.3003
4124,10191.58
9157,2977.4067
6506,4506.5435
22805,3372.1724
22574,3874.377
17524,8653.619
5804,4868.9004
23635,39854.062
15886,3616.2415
5330,7094.143
18195,3163.9033
15912,5804.586
9755,12984.492
5726,3418.3804
21590,6609.5024
14126,13513.3
20842,80845.3
23075,16502.156
29037,6455.779
24799,3867.5469
9872,8648.127
14120,4172.4385
15783,1955.7201
17641,4888.809
13029,3740.6108
11296,101589.7
26827,3179.5728
28390,4290.8696
12931,2651.4663
3208,6089.062
9758,6080.1045
5281,5397.0093
4250,7582.431
24238,3772.153
16635,2818.4944
26173,3824.887
22973,4168.809
15289,15578.133
10830,3549.4856
11493,4068.6016
20336,7846.7295
11944,3000.5
25156,5041.9517
9659,5763.819
15964,2449.4014
25569,4169.703
6830,7539.5244
19674,4448.839
4020,4581.3647
27068,27864.092
27318,6744.676
25089,1239.7877
4876,8943.521
7197,5021.5054
14666,2425.484
2052,8434.351
10266,2433.8625
10665,4435.3433
2580,3345.4343
19854,5517.2817
1334,5421.876
4172,6972.5513
6956,2014.5385
21595,25489.865
27191,5312.2144
29648,6026.536
7384,1807.2083
26148,4017.676
15331,5405.508
28577,4594.2183
9071,5309.615
13554,31.584234
8296,6354.22
509,10992.664
3237,3283.4778
282,3561.6282
130,2270.3877
29558,5335.1997
20266,719.41003
2826,4418.4404
2527,2376.785
21612,22640.611
2607,3368.7554
7246,2574.3262
7444,5531.3667
25742,2006.0211
19050,2817.4807
15126,3563.67
7886,7385.518
17643,4885.0127
9775,7221.799
1009,6916.6997
6110,9242.082
19946,1254.1298
16295,3757.628
29565,5966.4966
20321,4958.025
13060,3718.0151
6124,36.053318
26271,2315.6045
23746,4555.265
8547,4010.227
1289,3684.5864
13254,7146.0674
26118,2094.52
13476,11137.254
16415,15561.025
29683,7896.405
15310,3246.9734
386,2457.2324
445,4827.9316
12891,4004.7244
23958,3036.275
788,2683.9316
2954,3124.0928
13032,5034.868
13396,2649.2231
15482,6459.8193
5835,2732.128
5036,4001.0935
2086,4438.5366
12552,4658.1733
6313,4050.6062
15083,4280.72
27618,4582.4155
13583,14430.0625
3924,70158.12
19468,14013.086
9932,2152.5098
28233,4584.0576
16440,6635.7954
593,7960.437
10273,1157.2583
23694,4727.3975
10017,1584.0787
15895,6876.6
25483,4768.884
4265,4272.2793
19240,3667.6484
20283,17408.244
17931,3809.1348
25456,4811.625
23354,1215.8083
20436,4902.238
9178,14490.497
9122,2781.5742
24242,18052.219
13090,2402.3618
1687,1301.38
28089,1745.4188
9108,6662.221
23515,3759.5576
15041,7871.2124
21379,4383.531
2495,4233.5156
1410,1985.2567
3140,3736.2205
29969,2456.6692
20738,7506.7944
5808,9071.16
3898,3352.7087
16486,2913.9102
28360,4157.3228
194,4682.642
12300,10089.977
23896,2485.9187
16980,6625.4766
29481,11137.826
25699,3160.318
3377,13514.035
7479,2919.9888
23172,4993.939
20936,2699.8892
25284,1841.434
11220,11541.676
5988,4174.224
12693,5506.71
19914,9226.619
3155,4967.097
19871,4658.9316
2596,5287.19
961,10319.315
18033,4119.6265
15381,5408.772
9979,12797.025
16337,3308.144
29482,7423.133
26070,3694.372
17226,4025.134
20754,4076.955
15316,6634.1714
28349,4909.7983
